Nationalratswahl 2019, 29.09.2019 (Bericht wurde generiert am 08.10.2019 um 16:42)
Bezirk_Id;Bezirk;Gemeinde_Id;Gemeinde;Wahlberechtigte männlich;Wahlberechtigte weiblich;Auslandsösterreicher Wahlberechtigte männlich;Auslandsösterreicher Wahlberechtigte weiblich;Wahlberechtigte gesamt;Abgegebene Stimmen;Wahlbeteiligung;Gültige Stimmen;Ungültige Stimmen;Nr./Wählergruppe1;Name/Wählergruppe1;Stimmen/Wählergruppe1;Prozente/Wählergruppe1;Nr./Wählergruppe2;Name/Wählergruppe2;Stimmen/Wählergruppe2;Prozente/Wählergruppe2;Nr./Wählergruppe3;Name/Wählergruppe3;Stimmen/Wählergruppe3;Prozente/Wählergruppe3;Nr./Wählergruppe4;Name/Wählergruppe4;Stimmen/Wählergruppe4;Prozente/Wählergruppe4;Nr./Wählergruppe5;Name/Wählergruppe5;Stimmen/Wählergruppe5;Prozente/Wählergruppe5;Nr./Wählergruppe6;Name/Wählergruppe6;Stimmen/Wählergruppe6;Prozente/Wählergruppe6;Nr./Wählergruppe7;Name/Wählergruppe7;Stimmen/Wählergruppe7;Prozente/Wählergruppe7;Nr./Wählergruppe8;Name/Wählergruppe8;Stimmen/Wählergruppe8;Prozente/Wählergruppe8;Nr./Wählergruppe9;Name/Wählergruppe9;Stimmen/Wählergruppe9;Prozente/Wählergruppe9;
703;Innsbruck-Land;70329;Mils;1672;1740;18;26;3412;2216;64,95;2200;16;1;ÖVP;953;43,32;2;SPÖ;230;10,45;3;FPÖ;326;14,82;4;NEOS;254;11,55;5;JETZT;41;1,86;6;GRÜNE;368;16,73;7;GILT;6;0,27;8;KPÖ;14;0,64;9;WANDL;8;0,36;
703;Innsbruck-Land;70330;Mühlbachl;508;547;7;1;1055;618;58,58;609;9;1;ÖVP;346;56,81;2;SPÖ;98;16,09;3;FPÖ;88;14,45;4;NEOS;36;5,91;5;JETZT;6;0,99;6;GRÜNE;30;4,93;7;GILT;2;0,33;8;KPÖ;2;0,33;9;WANDL;1;0,16;
703;Innsbruck-Land;70331;Mutters;766;844;7;6;1610;1020;63,35;1014;6;1;ÖVP;496;48,92;2;SPÖ;81;7,99;3;FPÖ;128;12,62;4;NEOS;117;11,54;5;JETZT;18;1,78;6;GRÜNE;169;16,67;7;GILT;0;0,00;8;KPÖ;3;0,30;9;WANDL;2;0,20;
703;Innsbruck-Land;70332;Natters;783;821;2;9;1604;951;59,29;950;1;1;ÖVP;434;45,68;2;SPÖ;110;11,58;3;FPÖ;122;12,84;4;NEOS;100;10,53;5;JETZT;16;1,68;6;GRÜNE;156;16,42;7;GILT;1;0,11;8;KPÖ;5;0,53;9;WANDL;6;0,63;
703;Innsbruck-Land;70333;Navis;813;803;1;3;1616;1030;63,74;1024;6;1;ÖVP;647;63,18;2;SPÖ;111;10,84;3;FPÖ;158;15,43;4;NEOS;48;4,69;5;JETZT;10;0,98;6;GRÜNE;47;4,59;7;GILT;1;0,10;8;KPÖ;0;0,00;9;WANDL;2;0,20;
703;Innsbruck-Land;70334;Neustift im Stubaital;1761;1716;11;15;3477;2245;64,57;2225;20;1;ÖVP;1261;56,67;2;SPÖ;183;8,22;3;FPÖ;403;18,11;4;NEOS;146;6,56;5;JETZT;36;1,62;6;GRÜNE;181;8,13;7;GILT;3;0,13;8;KPÖ;8;0,36;9;WANDL;4;0,18;
703;Innsbruck-Land;70335;Oberhofen im Inntal;685;682;4;3;1367;868;63,50;863;5;1;ÖVP;323;37,43;2;SPÖ;146;16,92;3;FPÖ;184;21,32;4;NEOS;85;9,85;5;JETZT;14;1,62;6;GRÜNE;103;11,94;7;GILT;1;0,12;8;KPÖ;4;0,46;9;WANDL;3;0,35;
703;Innsbruck-Land;70336;Obernberg am Brenner;164;125;1;0;289;217;75,09;216;1;1;ÖVP;127;58,80;2;SPÖ;14;6,48;3;FPÖ;53;24,54;4;NEOS;11;5,09;5;JETZT;1;0,46;6;GRÜNE;9;4,17;7;GILT;0;0,00;8;KPÖ;0;0,00;9;WANDL;1;0,46;
703;Innsbruck-Land;70337;Oberperfuss;1190;1229;7;8;2419;1553;64,20;1537;16;1;ÖVP;749;48,73;2;SPÖ;207;13,47;3;FPÖ;179;11,65;4;NEOS;151;9,82;5;JETZT;27;1,76;6;GRÜNE;209;13,60;7;GILT;1;0,07;8;KPÖ;12;0,78;9;WANDL;2;0,13;
703;Innsbruck-Land;70338;Patsch;405;406;1;4;811;515;63,50;513;2;1;ÖVP;230;44,83;2;SPÖ;59;11,50;3;FPÖ;69;13,45;4;NEOS;53;10,33;5;JETZT;3;0,58;6;GRÜNE;92;17,93;7;GILT;1;0,19;8;KPÖ;6;1,17;9;WANDL;0;0,00;
